feature,importance
F3912,173238.82368748524
F3898,37366.502690446374
F3914,28158.38799984455
F3240,10764.200508356094
F3799,3712.0337720766665
F3348,3268.221131181717
F1968,2696.6944979906084
F1165,2202.6024899806825
F364,1879.236993455887
F1813,1548.6799761652946
F1166,1234.0233868807322
F2581,1141.008861541748
F3805,1140.5709010038524
F1685,1136.7318412780762
F2140,1116.325622650981
F3536,836.3780636027456
F1921,825.946635054797
F781,733.9105150364339
F3143,707.1195718765259
F3839,690.8384684830904
F2009,622.4641681671143
F1057,586.9071010261774
F3748,546.0604665264487
F1919,481.866015625
F3640,476.7009750366211
F301,415.3376098632813
F997,409.23084325790404
F2182,405.75297639369967
F2889,397.2044210910797
F3811,384.7244018793106
F1922,346.7812002182007
F3351,344.63992285728455
F950,329.3349500656128
F3574,304.172562789917
F3487,262.7451893568039
F2139,236.0673082899535
F326,199.98144900724293
F2894,194.10100423097612
F366,192.92389993667604
F3643,191.72321190238
F3105,184.48871306926011
F3575,184.20800170898437
F2008,169.2536865234375
F1489,138.39346237182616
F2527,131.80360107421876
F3634,128.0945464121818
F3672,123.26647152900696
F3495,119.84537925720215
F3644,118.39428625106811
F2484,117.07629928588867
F61,116.62090478241444
F3534,108.65809054374695
F573,108.29640391021967
F3144,108.05526084899903
F3532,107.65627827048301
F2076,101.8966162417084
F3804,100.76322135925292
F2145,100.67363872528077
F1750,98.73790855407715
F2583,93.39309768676758
F1927,89.40419921875
F3887,87.8166603088379
F2038,84.03346163034439
F1928,83.97999877929688
F3526,81.73527821991593
F1321,81.42643828392029
F571,77.00121862888336
F3810,69.68805921077728
F2891,63.742944419384
F2681,62.530660247802736
F3798,59.1569943651557
F1755,58.60789558216929
F1710,58.41935634613037
F2290,58.213601684570314
F3750,57.83374401032925
F3106,53.97782822847366
F2586,53.87913153767586
F2534,52.567938500642775
F1920,52.2
F3808,52.00826091766358
F2890,51.331924366950986
F1323,50.62270259857178
F3919,50.047428488731384
F1815,48.70999227538705
F3099,47.551920318603514
F3812,45.89940690994263
F2950,45.05870596766472
F1647,44.87917528152466
F3842,44.16700540184975
F429,44.03479995727539
F2486,42.47630200982094
F3865,36.435400390625
F2535,36.14931514263153
F2040,34.67681884765625
F3832,33.69608814865351
F2150,33.49219970703125
F3535,32.62073331624269
F2849,31.457399940490724
F2149,31.19739990234375
F369,30.395413166284563
F2635,30.007963441312313
F3104,29.755419921875
F3708,29.089965891838073
F3714,28.704679870605467
F1819,28.151416013739073
F3813,26.8236528493464
F3841,25.378005865961313
F466,24.417164468765257
F2137,23.529268259555103
F2782,22.019436144828795
F1933,21.518400573730467
F3635,20.80510005950928
F2146,20.560324001312257
F1246,20.181882175430655
F2034,18.77771450281143
F1926,18.219901820272206
F3059,18.057382065057755
F2842,17.72855987548828
F3751,17.309735858440398
F1045,17.061772060394286
F3801,17.018377991020678
F3802,16.772947907447815
F1594,16.644780158996582
F3348_missing,16.39162130355835
F1279,16.195812773704528
F3845,15.995802283287048
F1932,15.535159683227539
F3831,15.401815144717693
F267,15.14031982421875
F59,15.089300537109375
F3807,14.759567270055413
F1863,14.61744445487857
F2344,14.604219245910645
F2957,14.462577760219574
F999,14.204699262976646
F156,14.173956996947528
F2485,14.074380493164062
F3711,13.226370279490947
F2074,13.208996744453907
F2637,13.078494630008937
F3395,13.055539047718048
F2489,13.026350208558142
F2388,12.92657196521759
F114,12.68458945006132
F3642,12.27821384370327
F367,11.396080017089844
F2032,11.132448029518127
F1708,11.038185834884644
F2645,10.946225393377244
F3595,10.782300186157226
F3102,10.689720153808594
F3493,10.649720376357436
F1925,10.499606919288635
F196_missing,10.361419677734375
F3243,10.278896236419678
F3537,10.101896953582763
F1153,9.946573033928871
F1177,9.604560089111327
F3840,9.395356927532703
F1429,9.131244134902953
F567,8.792450141906738
F160,8.717568469047546
F1477,8.52617243528366
F1707,8.416147994995118
F1814,8.296076107025147
F265,8.194788026809693
F2684,8.157878112792968
F3835,7.966423140466214
F2184,7.906283757090568
F2893,7.712779998779297
F3749,7.533333817124367
F3754,7.402788066864014
F470,7.21676197052002
F1597,6.978458654880524
F2997,6.890404129028321
F1431,6.856719970703125
F2852,6.684980010986328
F2647,6.626119995117188
F2787,6.61018009185791
F3838,6.566588515043259
F3851,6.545339965820313
F1598,6.509918373823166
F469,6.485680007934571
F3136,6.456879997253418
F2643,6.08991003036499
F1640,6.048167421668768
F435,5.839100074768067
F3489,5.811539936065674
F2077,5.773190212249756
F3600,5.48706038761884
F3796,5.412359380722046
F3492,5.3976818978786465
F3146,5.291360092163086
F3062,5.278972244262695
F2883,5.179819965362549
F673,5.0978601455688475
F1858,5.090633350610733
F423,5.023104095458985
F1281,4.942898577032611
F2350,4.9346160054206845
F598,4.893160057067871
F3843,4.863402962684631
F1753,4.856765925884247
F2892,4.838919830322266
F1381,4.773992474516854
F1105,4.773858070373535
F3147,4.763000106811523
F422,4.755929649583413
F2886,4.7103521704673765
F996,4.7102001190185545
F3834,4.6480135262012485
F3822,4.608900371566415
F1713,4.564502488821745
F145,4.5091593459248545
F2142,4.441389275714755
F268,4.292200088500977
F1702,4.162025904655456
F1923,4.043169806525111
F949,3.988034248352051
F2185,3.9855161249637603
F2825,3.9375
F3753,3.891027018427849
F2785,3.884706063568592
F259,3.8823126196861266
F2079,3.793899917602539
F120,3.7399722218513487
F1602,3.7023799419403076
F2845,3.6752601623535157
F531,3.618684529047459
F2999,3.5892220437526703
F1107,3.5163080215454103
F3806,3.3744600296020506
F1894,3.2933238983154296
F3871,3.2787455728277566
F1599,3.1822885453701018
F2828,3.1473199844360353
F1043,3.134791946411133
F1818,3.1097069561481474
F3037,3.0739200592041014
F3833,2.9737077832221983
